LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,001-000,DEMOCRATIC,16,6,8,1,107
Allegany,06,01C,001-000,GREEN,0,0,0,0,0
Allegany,06,01C,001-000,LIBERTARIAN,0,0,0,0,7
Allegany,06,01C,001-000,OTHER PARTIES,0,0,0,0,5
Allegany,06,01C,001-000,REPUBLICAN,118,2,20,0,421
Allegany,06,01C,001-000,UNAFFILIATED,3,0,1,1,102
Allegany,06,01C,001-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01C,002-000,DEMOCRATIC,6,0,12,1,130
Allegany,06,01C,002-000,GREEN,0,0,0,0,2
Allegany,06,01C,002-000,LIBERTARIAN,0,0,0,0,4
Allegany,06,01C,002-000,OTHER PARTIES,0,0,2,0,6
Allegany,06,01C,002-000,REPUBLICAN,127,6,24,1,462
Allegany,06,01C,002-000,UNAFFILIATED,5,0,2,0,137
Allegany,06,01C,002-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01C,003-000,DEMOCRATIC,10,6,14,0,109
Allegany,06,01C,003-000,GREEN,0,0,0,0,0
Allegany,06,01C,003-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,003-000,OTHER PARTIES,0,1,0,0,7
Allegany,06,01C,003-000,REPUBLICAN,116,12,13,1,464
Allegany,06,01C,003-000,UNAFFILIATED,7,0,1,0,125
Allegany,06,01C,003-000,WORKING CLASS PARTY,1,0,0,0,2
Allegany,06,01B,004-002,DEMOCRATIC,15,1,11,0,260
Allegany,06,01B,004-002,GREEN,0,0,0,0,4
Allegany,06,01B,004-002,LIBERTARIAN,0,0,0,0,2
Allegany,06,01B,004-002,OTHER PARTIES,0,0,0,0,11
Allegany,06,01B,004-002,REPUBLICAN,43,2,15,1,275
Allegany,06,01B,004-002,UNAFFILIATED,7,3,6,0,220
Allegany,06,01B,004-002,WORKING CLASS PARTY,0,0,0,0,5
Allegany,06,01B,004-003,DEMOCRATIC,28,8,38,3,375
Allegany,06,01B,004-003,GREEN,0,0,1,0,5
Allegany,06,01B,004-003,LIBERTARIAN,0,0,0,0,7
Allegany,06,01B,004-003,OTHER PARTIES,0,0,0,0,20
Allegany,06,01B,004-003,REPUBLICAN,76,20,21,2,411
Allegany,06,01B,004-003,UNAFFILIATED,10,1,3,0,258
Allegany,06,01B,004-003,WORKING CLASS PARTY,0,0,1,0,2
Allegany,06,01B,004-004,DEMOCRATIC,62,24,73,5,445
Allegany,06,01B,004-004,GREEN,0,0,0,0,3
Allegany,06,01B,004-004,LIBERTARIAN,0,0,0,0,1
Allegany,06,01B,004-004,OTHER PARTIES,1,0,1,0,16
Allegany,06,01B,004-004,REPUBLICAN,152,42,33,5,586
Allegany,06,01B,004-004,UNAFFILIATED,4,3,13,1,215
Allegany,06,01B,004-004,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,004-005,DEMOCRATIC,14,4,16,0,252
Allegany,06,01B,004-005,GREEN,1,0,0,0,3
Allegany,06,01B,004-005,LIBERTARIAN,0,0,0,0,5
Allegany,06,01B,004-005,OTHER PARTIES,1,0,1,0,11
Allegany,06,01B,004-005,REPUBLICAN,50,4,12,1,296
Allegany,06,01B,004-005,UNAFFILIATED,2,3,5,0,184
Allegany,06,01B,004-005,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,004-008,DEMOCRATIC,42,14,68,5,398
Allegany,06,01B,004-008,GREEN,0,0,0,0,1
Allegany,06,01B,004-008,LIBERTARIAN,0,0,0,0,10
Allegany,06,01B,004-008,OTHER PARTIES,0,0,1,0,13
Allegany,06,01B,004-008,REPUBLICAN,106,30,32,3,532
Allegany,06,01B,004-008,UNAFFILIATED,6,2,8,0,268
Allegany,06,01B,004-008,WORKING CLASS PARTY,0,0,0,0,3
Allegany,06,01B,005-004,DEMOCRATIC,29,10,51,0,363
Allegany,06,01B,005-004,GREEN,0,0,0,0,0
Allegany,06,01B,005-004,LIBERTARIAN,0,0,1,0,4
Allegany,06,01B,005-004,OTHER PARTIES,0,0,1,0,14
Allegany,06,01B,005-004,REPUBLICAN,95,9,31,0,419
Allegany,06,01B,005-004,UNAFFILIATED,13,0,8,0,245
Allegany,06,01B,005-004,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01B,005-006,DEMOCRATIC,7,2,6,1,137
Allegany,06,01B,005-006,GREEN,0,0,0,0,0
Allegany,06,01B,005-006,LIBERTARIAN,0,0,0,0,4
Allegany,06,01B,005-006,OTHER PARTIES,0,0,0,0,6
Allegany,06,01B,005-006,REPUBLICAN,65,11,10,0,266
Allegany,06,01B,005-006,UNAFFILIATED,4,1,0,3,106
Allegany,06,01B,005-006,WORKING CLASS PARTY,0,0,0,0,3
Allegany,06,01B,006-001,DEMOCRATIC,68,19,57,4,461
Allegany,06,01B,006-001,GREEN,0,0,0,0,2
Allegany,06,01B,006-001,LIBERTARIAN,1,0,1,0,12
Allegany,06,01B,006-001,OTHER PARTIES,1,0,0,0,9
Allegany,06,01B,006-001,REPUBLICAN,103,27,45,2,418
Allegany,06,01B,006-001,UNAFFILIATED,11,3,8,1,239
Allegany,06,01B,006-001,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01B,006-003,DEMOCRATIC,25,13,29,3,243
Allegany,06,01B,006-003,GREEN,0,0,0,0,3
Allegany,06,01B,006-003,LIBERTARIAN,0,0,1,0,5
Allegany,06,01B,006-003,OTHER PARTIES,0,0,0,0,3
Allegany,06,01B,006-003,REPUBLICAN,49,12,19,2,234
Allegany,06,01B,006-003,UNAFFILIATED,5,2,4,0,120
Allegany,06,01B,006-003,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01B,006-005,DEMOCRATIC,44,30,47,5,357
Allegany,06,01B,006-005,GREEN,2,0,0,0,3
Allegany,06,01B,006-005,LIBERTARIAN,0,1,0,0,4
Allegany,06,01B,006-005,OTHER PARTIES,0,0,0,0,10
Allegany,06,01B,006-005,REPUBLICAN,107,37,26,2,412
Allegany,06,01B,006-005,UNAFFILIATED,8,1,7,2,220
Allegany,06,01B,006-005,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01B,006-006,DEMOCRATIC,43,14,41,3,384
Allegany,06,01B,006-006,GREEN,0,0,0,0,2
Allegany,06,01B,006-006,LIBERTARIAN,0,0,0,0,8
Allegany,06,01B,006-006,OTHER PARTIES,0,0,1,0,13
Allegany,06,01B,006-006,REPUBLICAN,167,22,35,3,708
Allegany,06,01B,006-006,UNAFFILIATED,7,0,4,0,255
Allegany,06,01B,006-006,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01B,007-001,DEMOCRATIC,52,11,44,1,397
Allegany,06,01B,007-001,GREEN,0,0,0,0,0
Allegany,06,01B,007-001,LIBERTARIAN,0,0,0,1,6
Allegany,06,01B,007-001,OTHER PARTIES,0,0,0,0,14
Allegany,06,01B,007-001,REPUBLICAN,179,29,29,2,794
Allegany,06,01B,007-001,UNAFFILIATED,9,0,8,0,286
Allegany,06,01B,007-001,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01A,007-002,DEMOCRATIC,64,9,46,0,418
Allegany,06,01A,007-002,GREEN,1,0,0,0,2
Allegany,06,01A,007-002,LIBERTARIAN,0,0,0,0,4
Allegany,06,01A,007-002,OTHER PARTIES,0,0,0,0,17
Allegany,06,01A,007-002,REPUBLICAN,227,24,41,1,890
Allegany,06,01A,007-002,UNAFFILIATED,13,0,1,2,243
Allegany,06,01A,007-002,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01A,008-000,DEMOCRATIC,56,0,61,2,428
Allegany,06,01A,008-000,GREEN,0,0,1,0,3
Allegany,06,01A,008-000,LIBERTARIAN,1,0,0,0,8
Allegany,06,01A,008-000,OTHER PARTIES,1,0,0,0,18
Allegany,06,01A,008-000,REPUBLICAN,286,15,45,9,1215
Allegany,06,01A,008-000,UNAFFILIATED,13,1,11,0,401
Allegany,06,01A,008-000,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01A,009-000,DEMOCRATIC,7,0,13,0,132
Allegany,06,01A,009-000,GREEN,0,0,0,0,0
Allegany,06,01A,009-000,LIBERTARIAN,0,0,0,0,6
Allegany,06,01A,009-000,OTHER PARTIES,1,0,0,0,5
Allegany,06,01A,009-000,REPUBLICAN,116,8,24,1,510
Allegany,06,01A,009-000,UNAFFILIATED,8,0,1,0,141
Allegany,06,01A,009-000,WORKING CLASS PARTY,0,0,0,0,1
Allegany,06,01A,010-000,DEMOCRATIC,15,2,24,0,177
Allegany,06,01A,010-000,GREEN,0,0,0,0,0
Allegany,06,01A,010-000,LIBERTARIAN,0,0,0,0,3
Allegany,06,01A,010-000,OTHER PARTIES,0,0,0,0,4
Allegany,06,01A,010-000,REPUBLICAN,234,7,53,2,879
Allegany,06,01A,010-000,UNAFFILIATED,1,1,4,0,183
Allegany,06,01A,010-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,011-000,DEMOCRATIC,44,7,42,1,291
Allegany,06,01B,011-000,GREEN,0,0,0,0,2
Allegany,06,01B,011-000,LIBERTARIAN,0,0,1,0,3
Allegany,06,01B,011-000,OTHER PARTIES,0,0,0,0,2
Allegany,06,01B,011-000,REPUBLICAN,96,5,19,1,368
Allegany,06,01B,011-000,UNAFFILIATED,9,0,1,0,150
Allegany,06,01B,011-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01B,012-000,DEMOCRATIC,84,12,68,2,637
Allegany,06,01B,012-000,GREEN,1,0,0,0,4
Allegany,06,01B,012-000,LIBERTARIAN,2,0,0,0,15
Allegany,06,01B,012-000,OTHER PARTIES,0,0,1,0,24
Allegany,06,01B,012-000,REPUBLICAN,239,25,84,1,985
Allegany,06,01B,012-000,UNAFFILIATED,16,1,10,2,429
Allegany,06,01B,012-000,WORKING CLASS PARTY,0,0,0,0,6
Allegany,06,01B,013-000,DEMOCRATIC,37,1,29,2,298
Allegany,06,01B,013-000,GREEN,0,0,0,0,1
Allegany,06,01B,013-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,013-000,OTHER PARTIES,0,0,0,0,5
Allegany,06,01B,013-000,REPUBLICAN,222,15,33,3,866
Allegany,06,01B,013-000,UNAFFILIATED,7,0,5,2,272
Allegany,06,01B,013-000,WORKING CLASS PARTY,0,0,1,0,2
Allegany,06,01B,014-000,DEMOCRATIC,29,1,24,0,229
Allegany,06,01B,014-000,GREEN,0,0,0,0,4
Allegany,06,01B,014-000,LIBERTARIAN,1,0,0,0,7
Allegany,06,01B,014-000,OTHER PARTIES,1,0,0,0,9
Allegany,06,01B,014-000,REPUBLICAN,32,1,14,0,159
