LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,001-000,DEMOCRAT,31,1,1,0,124
Allegany,06,01C,001-000,GREEN,0,0,0,0,2
Allegany,06,01C,001-000,LIBERTARIAN,0,0,0,0,4
Allegany,06,01C,001-000,OTHER PARTIES,0,0,0,0,3
Allegany,06,01C,001-000,REPUBLICAN,118,5,1,0,390
Allegany,06,01C,001-000,UNAFFILIATED,3,1,0,0,103
Allegany,06,01C,002-000,DEMOCRAT,24,3,6,0,158
Allegany,06,01C,002-000,GREEN,0,0,0,0,3
Allegany,06,01C,002-000,LIBERTARIAN,1,0,0,0,7
Allegany,06,01C,002-000,OTHER PARTIES,0,0,0,1,4
Allegany,06,01C,002-000,REPUBLICAN,132,12,3,1,415
Allegany,06,01C,002-000,UNAFFILIATED,8,0,0,4,125
Allegany,06,01C,003-000,DEMOCRAT,31,2,2,0,142
Allegany,06,01C,003-000,GREEN,0,0,0,0,1
Allegany,06,01C,003-000,LIBERTARIAN,0,0,0,0,2
Allegany,06,01C,003-000,OTHER PARTIES,0,0,0,0,4
Allegany,06,01C,003-000,REPUBLICAN,111,13,3,0,404
Allegany,06,01C,003-000,UNAFFILIATED,7,0,0,0,118
Allegany,06,01C,004-002,DEMOCRAT,48,3,3,0,321
Allegany,06,01C,004-002,GREEN,1,0,0,0,9
Allegany,06,01C,004-002,LIBERTARIAN,0,0,0,0,7
Allegany,06,01C,004-002,OTHER PARTIES,0,0,0,0,2
Allegany,06,01C,004-002,REPUBLICAN,49,4,6,0,224
Allegany,06,01C,004-002,UNAFFILIATED,12,2,2,0,189
Allegany,06,01C,004-003,DEMOCRAT,95,15,5,2,404
Allegany,06,01C,004-003,GREEN,1,0,0,0,5
Allegany,06,01C,004-003,LIBERTARIAN,0,0,0,0,14
Allegany,06,01C,004-003,OTHER PARTIES,2,0,0,0,10
Allegany,06,01C,004-003,REPUBLICAN,105,15,7,2,417
Allegany,06,01C,004-003,UNAFFILIATED,14,1,1,2,230
Allegany,06,01C,004-004,DEMOCRAT,148,39,11,2,525
Allegany,06,01C,004-004,GREEN,1,0,0,0,7
Allegany,06,01C,004-004,LIBERTARIAN,1,0,0,1,7
Allegany,06,01C,004-004,OTHER PARTIES,1,0,0,0,9
Allegany,06,01C,004-004,REPUBLICAN,186,37,6,3,559
Allegany,06,01C,004-004,UNAFFILIATED,21,5,1,0,188
Allegany,06,01C,004-005,DEMOCRAT,47,4,4,1,274
Allegany,06,01C,004-005,GREEN,1,0,0,0,3
Allegany,06,01C,004-005,LIBERTARIAN,0,0,0,0,5
Allegany,06,01C,004-005,OTHER PARTIES,2,0,0,0,10
Allegany,06,01C,004-005,REPUBLICAN,61,7,3,1,269
Allegany,06,01C,004-005,UNAFFILIATED,19,1,1,0,173
Allegany,06,01C,004-008,DEMOCRAT,124,15,7,0,436
Allegany,06,01C,004-008,GREEN,0,0,0,0,3
Allegany,06,01C,004-008,LIBERTARIAN,2,1,0,0,10
Allegany,06,01C,004-008,OTHER PARTIES,2,0,0,0,9
Allegany,06,01C,004-008,REPUBLICAN,156,30,5,3,524
Allegany,06,01C,004-008,UNAFFILIATED,31,1,0,0,224
Allegany,06,01B,005-004,DEMOCRAT,102,18,4,0,428
Allegany,06,01B,005-004,GREEN,0,0,0,0,5
Allegany,06,01B,005-004,LIBERTARIAN,0,0,0,0,7
Allegany,06,01B,005-004,OTHER PARTIES,1,0,0,0,8
Allegany,06,01B,005-004,REPUBLICAN,139,13,4,2,412
Allegany,06,01B,005-004,UNAFFILIATED,28,1,0,0,198
Allegany,06,01B,005-006,DEMOCRAT,28,0,0,0,170
Allegany,06,01B,005-006,GREEN,1,0,0,0,1
Allegany,06,01B,005-006,LIBERTARIAN,0,0,0,0,5
Allegany,06,01B,005-006,OTHER PARTIES,0,0,0,0,4
Allegany,06,01B,005-006,REPUBLICAN,74,15,0,1,244
Allegany,06,01B,005-006,UNAFFILIATED,8,0,0,0,84
Allegany,06,01C,006-001,DEMOCRAT,138,51,9,3,477
Allegany,06,01C,006-001,GREEN,2,1,0,0,8
Allegany,06,01C,006-001,LIBERTARIAN,6,0,0,0,15
Allegany,06,01C,006-001,OTHER PARTIES,2,1,1,0,15
Allegany,06,01C,006-001,REPUBLICAN,148,39,20,8,488
Allegany,06,01C,006-001,UNAFFILIATED,24,3,2,0,200
Allegany,06,01C,006-003,DEMOCRAT,65,28,1,0,282
Allegany,06,01C,006-003,GREEN,0,0,0,0,3
Allegany,06,01C,006-003,LIBERTARIAN,1,0,0,0,4
Allegany,06,01C,006-003,OTHER PARTIES,0,0,0,0,5
Allegany,06,01C,006-003,REPUBLICAN,79,13,5,1,229
Allegany,06,01C,006-003,UNAFFILIATED,10,0,0,0,102
Allegany,06,01C,006-005,DEMOCRAT,115,32,6,1,399
Allegany,06,01C,006-005,GREEN,0,1,0,0,3
Allegany,06,01C,006-005,LIBERTARIAN,0,0,0,0,7
Allegany,06,01C,006-005,OTHER PARTIES,1,0,0,0,8
Allegany,06,01C,006-005,REPUBLICAN,152,45,7,1,411
Allegany,06,01C,006-005,UNAFFILIATED,18,1,0,0,162
Allegany,06,01B,006-006,DEMOCRAT,86,22,3,1,468
Allegany,06,01B,006-006,GREEN,0,0,0,0,5
Allegany,06,01B,006-006,LIBERTARIAN,1,0,0,0,8
Allegany,06,01B,006-006,OTHER PARTIES,1,0,0,0,10
Allegany,06,01B,006-006,REPUBLICAN,185,21,2,0,659
Allegany,06,01B,006-006,UNAFFILIATED,12,0,0,3,211
Allegany,06,01B,007-001,DEMOCRAT,91,13,8,3,480
Allegany,06,01B,007-001,GREEN,0,0,0,0,3
Allegany,06,01B,007-001,LIBERTARIAN,1,0,0,0,11
Allegany,06,01B,007-001,OTHER PARTIES,0,0,0,0,9
Allegany,06,01B,007-001,REPUBLICAN,188,17,7,2,715
Allegany,06,01B,007-001,UNAFFILIATED,12,1,1,0,249
Allegany,06,01A,007-002,DEMOCRAT,108,19,3,2,474
Allegany,06,01A,007-002,GREEN,0,0,1,0,3
Allegany,06,01A,007-002,LIBERTARIAN,2,0,0,0,9
Allegany,06,01A,007-002,OTHER PARTIES,1,0,0,0,13
Allegany,06,01A,007-002,REPUBLICAN,272,32,11,1,840
Allegany,06,01A,007-002,UNAFFILIATED,18,1,0,0,240
Allegany,06,01A,008-000,DEMOCRAT,128,9,7,0,568
Allegany,06,01A,008-000,GREEN,1,0,0,0,5
Allegany,06,01A,008-000,LIBERTARIAN,1,0,0,0,7
