"",Voters,Cast,Turnout
Jurisdiction Wide,,,
BARNUMTON,1065,360,33.80%
CAMDENTON 1,2618,775,29.60%
CAMDENTON 2,2530,711,28.10%
CAMDENTON 3 & HA HA TONKA,2952,840,28.46%
CLIMAX SPRINGS,1144,354,30.94%
DECATURVILLE,1272,461,36.24%
FREEDOM,594,224,37.71%
GREENVIEW,1551,570,36.75%
HILLHOUSE,503,167,33.20%
HORSESHOE BEND,4100,1230,30.00%
LINN CREEK,1553,542,34.90%
MACKS CREEK,1725,617,35.77%
MONTREAL,523,190,36.33%
"OSAGE BEACH 1, 2, & 3",4831,1433,29.66%
ROACH,1294,491,37.94%
STOUTLAND,620,169,27.26%
SUNNYSLOPE,391,133,34.02%
SUNRISE BEACH 1,1732,567,32.74%
SUNRISE BEACH 2 & 3 AND WILSON,2431,767,31.55%
BEND,,,
ABSENTEE,-,727,-
Total,33429,11328,33.89%
