Candidate,Party,Election Day,Absentee,Mail-In,Provisional,Total,
"Joseph R. Biden V.P. KamalaD. Harris",DEM,"9,337","1,364","9,181",574,"20,456",
"Donald J. Trump V.P. MichaelR. Pence",REP,"34,965","1,224","4,056",998,"41,243",
"Jo Jorgensen V.P JeremySpike Cohen",LIB,328,34,94,12,468,
Write-in,,51,4,32,4,91,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Brian Carroll,WRITE-IN,0,0,0,0,0,
Andrew Tang,WRITE-IN,1,0,0,0,1,
Kayne West,WRITE-IN,1,0,0,0,1,
Benjamin Sota,WRITE-IN,1,0,0,0,1,
Patrick Roy,WRITE-IN,1,0,0,0,1,
R19 Boddie,WRITE-IN,0,0,0,0,0,
Derrek Irving Collins,WRITE-IN,0,0,0,0,0,
Don Blankenship,WRITE-IN,2,0,0,0,2,
Stephen Lotman,WRITE-IN,1,0,0,0,1,
Marissa Grimm,WRITE-IN,1,0,0,0,1,
Calvin R. Price,WRITE-IN,1,0,0,0,1,
Ryan Ehrenreich,WRITE-IN,0,0,0,0,0,
Howie Hawkins,WRITE-IN,6,1,8,0,15,
Bernie Sanders,WRITE-IN,5,0,4,0,9,
Michael R. Pence,WRITE-IN,0,1,0,0,1,
"Joseph R. Biden V.P. JosephSestak",WRITE-IN,0,1,0,0,1,
"Don Blankenship V.P. WilliamMohr",WRITE-IN,1,0,0,0,1,
Juliette Jenner,WRITE-IN,0,0,0,0,0,
Joe McHugh,WRITE-IN,0,0,0,0,0,
"",,Election Day,Absentee,Mail-In,Provisional,Total,
Nikki Haley,WRITE-IN,0,0,1,0,1,
Theresa Abbott,WRITE-IN,0,0,1,0,1,
O'Shea Jackson,WRITE-IN,1,0,0,0,1,
John Manimas Medeiros,WRITE-IN,0,0,0,0,0,
James Ogle,WRITE-IN,0,0,0,0,0,
Tulsi Gabbard,WRITE-IN,1,0,1,0,2,
Tim Scott,WRITE-IN,0,0,1,0,1,
Hillary Clinton,WRITE-IN,0,0,1,0,1,
"Howie Hawkins V.P. AngelaWalker",WRITE-IN,2,0,2,0,4,
Brock Pierce,WRITE-IN,1,0,0,0,1,
Albert Raley,WRITE-IN,0,0,0,0,0,
