COUNTY NAME,DATE,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
ALLEGANY,2024-10-12,2440,2252,825,5517,1108,1117,337,2562
ANNE ARUNDEL,2024-10-12,45123,18517,17946,81586,17658,7156,5733,30547
BALTIMORE CITY,2024-10-12,53775,3518,7113,64406,15001,895,1269,17165
BALTIMORE COUNTY,2024-10-12,71189,20777,17790,109756,25406,7491,4828,37725
CALVERT,2024-10-12,6040,3680,2415,12135,2440,1414,797,4651
CAROLINE,2024-10-12,943,764,404,2111,420,317,147,884
CARROLL,2024-10-12,9208,7205,4000,20413,3614,2765,1291,7670
CECIL,2024-10-12,3859,3653,1755,9267,1348,1157,522,3027
CHARLES,2024-10-12,12412,2815,2786,18013,4456,1119,793,6368
DORCHESTER,2024-10-12,1664,845,412,2921,682,345,132,1159
FREDERICK,2024-10-12,20576,7962,7378,35916,6370,2378,1960,10708
GARRETT,2024-10-12,918,1217,343,2478,433,515,122,1070
HARFORD,2024-10-12,13136,8404,5461,27001,5395,3438,1831,10664
HOWARD,2024-10-12,30594,7251,10406,48251,11165,2548,3115,16828
KENT,2024-10-12,1386,571,348,2305,661,269,129,1059
MONTGOMERY,2024-10-12,112519,17662,30909,161090,31797,5322,7385,44504
PRINCE GEORGE'S,2024-10-12,78745,5294,11803,95842,28085,1836,2814,32735
QUEEN ANNE'S,2024-10-12,2636,2007,1111,5754,1051,853,417,2321
SAINT MARY'S,2024-10-12,5205,3380,2147,10732,2127,1266,717,4110
SOMERSET,2024-10-12,761,529,231,1521,359,207,85,651
TALBOT,2024-10-12,2820,1469,1073,5362,1343,650,411,2404
WASHINGTON,2024-10-12,6954,4748,2769,14471,2888,2012,924,5824
WICOMICO,2024-10-12,4531,2412,1489,8432,2073,1120,522,3715
WORCESTER,2024-10-12,3256,2454,1274,6984,1651,1172,508,3331
ALLEGANY,2024-10-13,2440,2252,825,5517,1108,1117,337,2562
ANNE ARUNDEL,2024-10-13,45123,18517,17946,81586,17658,7156,5733,30547
BALTIMORE CITY,2024-10-13,53775,3518,7113,64406,15001,895,1269,17165
BALTIMORE COUNTY,2024-10-13,71189,20777,17790,109756,25406,7491,4828,37725
CALVERT,2024-10-13,6040,3680,2415,12135,2440,1414,797,4651
CAROLINE,2024-10-13,943,764,404,2111,420,317,147,884
CARROLL,2024-10-13,9208,7205,4000,20413,3614,2765,1291,7670
CECIL,2024-10-13,3859,3653,1755,9267,1348,1157,522,3027
CHARLES,2024-10-13,12412,2815,2786,18013,4456,1119,793,6368
DORCHESTER,2024-10-13,1664,845,412,2921,682,345,132,1159
FREDERICK,2024-10-13,20576,7962,7378,35916,6370,2378,1960,10708
GARRETT,2024-10-13,918,1217,343,2478,433,515,122,1070
HARFORD,2024-10-13,13136,8404,5461,27001,5395,3438,1831,10664
HOWARD,2024-10-13,30594,7251,10406,48251,11165,2548,3115,16828
KENT,2024-10-13,1386,571,348,2305,661,269,129,1059
MONTGOMERY,2024-10-13,112519,17662,30909,161090,31797,5322,7385,44504
PRINCE GEORGE'S,2024-10-13,78745,5294,11803,95842,28085,1836,2814,32735
QUEEN ANNE'S,2024-10-13,2636,2007,1111,5754,1051,853,417,2321
SAINT MARY'S,2024-10-13,5205,3380,2147,10732,2127,1266,717,4110
SOMERSET,2024-10-13,761,529,231,1521,359,207,85,651
TALBOT,2024-10-13,2820,1469,1073,5362,1343,650,411,2404
WASHINGTON,2024-10-13,6954,4748,2769,14471,2888,2012,924,5824
WICOMICO,2024-10-13,4531,2412,1489,8432,2073,1120,522,3715
WORCESTER,2024-10-13,3256,2454,1274,6984,1651,1172,508,3331
ALLEGANY,2024-10-14,2439,2251,824,5514,1142,1138,341,2621
ANNE ARUNDEL,2024-10-14,45111,18506,17937,81554,18057,7388,5895,31340
BALTIMORE CITY,2024-10-14,53745,3514,7105,64364,15001,894,1269,17164
