linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle,candidate
SB17,C00840017,500656450,ORG,Grassroots Media,NA,NA,NA,NA,NA,146 Montgomery Ave,Ste 201,Bala Cynwyd,PA,190042956,NA,2024-04-29,575560,Media Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500659773,ORG,Grassroots Media,NA,NA,NA,NA,NA,146 Montgomery Ave,Ste 201,Bala Cynwyd,PA,190042956,NA,2024-05-06,450000,Media Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673460,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-07,207650,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500659774,ORG,Grassroots Media,NA,NA,NA,NA,NA,146 Montgomery Ave,Ste 201,Bala Cynwyd,PA,190042956,NA,2024-05-09,125000,Media Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662907,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-22,100000,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500661937,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-05-15,100000,List Acquisition,NA,NA,2024,Alsobrooks
SB17,C00840017,500673538,ORG,RWT Productions LLC,NA,NA,NA,NA,NA,8932 Orange Hunt Ln,NA,Annandale,VA,220034125,NA,2024-06-18,88821.22,Direct Mail Production,NA,NA,2024,Alsobrooks
SB17,C00840017,500673458,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-24,50000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673457,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,2024-06-18,50000,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662934,ORG,Hart Research Associates,NA,NA,NA,NA,NA,1250 Connecticut Ave NW,Ste 530,Washington,DC,200362603,NA,2024-05-21,48000,Research Consulting,NA,NA,2024,Alsobrooks
