YEAR,COUNTY,DEM,REP,LIB,UNA,OTH,TOTAL
2024,Allegany,10827,22824,266,8786,600,43303
2024,Anne Arundel,170657,128052,2511,103138,4593,408951
2024,Baltimore City,294942,28293,1180,61098,5944,391457
2024,Baltimore County,307069,138092,2694,117815,8234,573904
2024,Calvert,23236,28005,454,16231,771,68697
2024,Caroline,5964,10691,125,4861,280,21921
2024,Carroll,33081,63510,834,29982,1402,128809
2024,Cecil,19062,35071,477,17112,985,72707
2024,Charles,74821,23027,443,24453,1287,124031
2024,Dorchester,9498,9341,110,4251,278,23478
2024,Frederick,77691,68073,1260,53044,1858,201926
2024,Garrett,3465,13716,110,3034,221,20546
2024,Harford,64201,80792,1285,44680,2393,193351
2024,Howard,121928,48237,967,61785,2654,235571
2024,Kent,5730,5335,70,2788,152,14075
2024,Montgomery,405476,98097,2416,170519,7524,684032
2024,Prince George's,451183,38584,1536,96352,12661,600316
2024,Queen Anne's,11110,20206,235,8809,410,40770
2024,Saint Mary's,24533,31960,495,17625,867,75480
2024,Somerset,5382,6185,71,2530,182,14350
2024,Talbot,10599,11704,169,6062,292,28826
2024,Washington,30423,44115,658,23554,1227,99977
2024,Wicomico,25911,24020,377,14929,954,66191
2024,Worcester,13469,19381,236,8969,581,42636
2024,TOTAL,2200258,997311,18979,902407,56350,4175305
