jurisdiction_code,county_name,poll_place_id,poll_name,poll_address1,city,state,zip,legislative_sub_district,legislative_district,congressional_district,judicial_circuit,appellate_circuit,councilmanic_district,election_district,building_type,college_nearby,college_name,is_early_voting_location,election_district_precinct
1,Allegany,36277,Orleans Volunteer Fire Department,"12210 Orleans Road, NE",Little Orleans,MD,21766,01C,01,06,04,03,NA,01,FIRE STATION,NA,NA,NA,001-000
1,Allegany,37115,Oldtown Volunteer Fire Department,"18712 Oldtown Road, SE",Oldtown,MD,21555,01C,01,06,04,03,NA,02,FIRE STATION,NA,NA,NA,002-000
1,Allegany,36923,Flintstone Volunteer Fire Department,21701 Flintstone Drive NE,Flintstone,MD,21530,01C,01,06,04,03,NA,03,FIRE STATION,NA,NA,NA,003-000
1,Allegany,37905,Fort Hill High School,500 Greenway Avenue,Cumberland,MD,21502,01B,01,06,04,03,NA,04,SCHOOL,NA,NA,NA,004-000
1,Allegany,36925,Braddock Middle School -,909 Holland Street,Cumberland,MD,21502,01B,01,06,04,03,NA,05,SCHOOL,NA,NA,NA,005-000
1,Allegany,37432,Allegany High School,900 Seton Drive,Cumberland,MD,21502,01B,01,06,04,03,NA,06,SCHOOL,NA,NA,NA,006-005
1,Allegany,37906,All. Cty.  Multi-Purpose Bldg.,11490 Moss Avenue SW,Cumberland,MD,21502,01B,01,06,04,03,NA,06,OTHER,NA,NA,NA,006-006
1,Allegany,36750,Cresaptown Elementary School,"13202 Sixth Avenue, SW",Cresaptown,MD,21502,01B,01,06,04,03,NA,07,SCHOOL,NA,NA,NA,007-001
1,Allegany,36926,Bel Air Elementary School,"14401 Barton Boulevard, SW",Cumberland,MD,21502,01A,01,06,04,03,NA,07,SCHOOL,NA,NA,NA,007-002
1,Allegany,36751,Westernport Elementary School,172 Church Street,Westernport,MD,21562,01A,01,06,04,03,NA,08,SCHOOL,NA,NA,NA,008-000
1,Allegany,36752,Barton Council Chamber,"19018 Legislative Road, SW",Barton,MD,21521,01A,01,06,04,03,NA,09,OTHER,NA,NA,NA,009-000
1,Allegany,36753,Westmar Middle School - Gym,"16915 Lower Georges Creek Road, SW",Lonaconing,MD,21539,01A,01,06,04,03,NA,10,SCHOOL,NA,NA,NA,010-000
1,Allegany,36754,Frost Elementary School,260 Shaw Street,Frostburg,MD,21532,01B,01,06,04,03,NA,11,SCHOOL,NA,NA,NA,011-000
1,Allegany,36755,Mountain Ridge High School Gym,100 Dr. Nancy S. Grasmick Lane,Frostburg,MD,21532,01B,01,06,04,03,NA,12,SCHOOL,NA,NA,NA,012-000
1,Allegany,36916,Mt. Savage Elementary/Middle School,"13201 New School Rd, NW",Mt. Savage,MD,21545,01B,01,06,04,03,NA,13,SCHOOL,NA,NA,NA,013-000
1,Allegany,36925,Braddock Middle School -,909 Holland Street,Cumberland,MD,21502,01B,01,06,04,03,NA,14,SCHOOL,NA,NA,NA,014-000
1,Allegany,36756,Department Of Emergency Services -,11400 PPG Road SE,Cumberland,MD,21502,01C,01,06,04,03,NA,16,OTHER,NA,NA,NA,016-001
1,Allegany,36756,Department Of Emergency Services -,11400 PPG Road SE,Cumberland,MD,21502,01B,01,06,04,03,NA,16,OTHER,NA,NA,NA,016-002
1,Allegany,36757,Midland Fire Hall,14823 Broadway Ave. SW,Midland,MD,21532,01B,01,06,04,03,NA,18,FIRE STATION,NA,NA,NA,018-000
1,Allegany,36758,Ellerslie Volunteer Fire Department,"14200 Ellerslie Road, NW",Ellerslie,MD,21529,01B,01,06,04,03,NA,20,FIRE STATION,NA,NA,NA,020-000
1,Allegany,36759,Baltimore Pike Volunteer Fire Department,"15010 Baltimore Pike, NE",Cumberland,MD,21502,01C,01,06,04,03,NA,21,FIRE STATION,NA,NA,NA,021-000
1,Allegany,37431,Allegany College Of Maryland,"12401 Willowbrook RD SE, CE RM 14",Cumberland,MD,21502,01B,01,06,04,03,NA,22,SCHOOL,NA,NA,NA,022-000
1,Allegany,36760,St. Luke's Lutheran Church,1601 Frederick Street,Cumberland,MD,21502,01B,01,06,04,03,NA,23,CHURCH,NA,NA,NA,023-000
1,Allegany,37175,Eckhart School,"17000 National Highway, SW",Eckhart,MD,21528,01B,01,06,04,03,NA,24,SCHOOL,NA,NA,NA,024-000
1,Allegany,36761,Frostburg Community Center,27 Water Street,Frostburg,MD,21532,01A,01,06,04,03,NA,26,COMMUNITY CENTER,NA,NA,NA,026-000
1,Allegany,36762,LaVale Volunteer Fire Department No. 1,421 National Highway,Lavale,MD,21502,01B,01,06,04,03,NA,29,FIRE STATION,NA,NA,NA,029-001
1,Allegany,36927,Parkside Elementary  School,50 Parkside Boulevard,Lavale,MD,21502,01B,01,06,04,03,NA,29,SCHOOL,NA,NA,NA,029-002
1,Allegany,36763,Christ Lutheran Church,1222 Vocke Road,Lavale,MD,21502,01B,01,06,04,03,NA,29,CHURCH,NA,NA,NA,029-003
1,Allegany,36917,Danville Community Church,"18800 Middle Ridge Rd, SW",Rawlings,MD,21557,01A,01,06,04,03,NA,31,CHURCH,NA,NA,NA,031-000
1,Allegany,36764,Bedford Road Volunteer Fire Department,"13200 Bedford Road, NE",Cumberland,MD,21502,01B,01,06,04,03,NA,34,FIRE STATION,NA,NA,NA,034-000
1,Allegany,37249,Allegany County Office Complex,"701 Kelly Road, Room 100",Cumberland,MD,21502,NA,NA,NA,NA,NA,NA,NA,OTHER,NA,NA,EVC-1,EVC
2,Anne Arundel,36297,Linthicum Elementary School,101 School Lane,Linthicum,MD,21090,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-001
2,Anne Arundel,36298,Lindale Middle School,415 Andover Road,Linthicum,MD,21090,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-002
2,Anne Arundel,37533,North County Hs,10 1st Avenue East,Glen Burnie,MD,21061,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-003
2,Anne Arundel,37511,Brooklyn Park Ms,200 Hammonds Lane,Baltimore,MD,21225,12B,12,03,05,05,001,01,SCHOOL,NA,NA,NA,001-004
2,Anne Arundel,36656,Hebron-Harman Elementary School,7660 Ridge Chapel Road,Hanover,MD,21076,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-005
2,Anne Arundel,37902,The Gathering Faith Community Church,1320 Dorsey RD,Hanover,MD,21076,NA,32,03,05,05,001,01,CHURCH,NA,NA,NA,001-006
2,Anne Arundel,36299,Overlook Elementary School,401 Hampton Road,Linthicum,MD,21090,12B,12,03,05,05,001,01,SCHOOL,NA,NA,NA,001-007
2,Anne Arundel,37533,North County Hs,10 1st Avenue East,Glen Burnie,MD,21061,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-008
2,Anne Arundel,36300,Hilltop Elementary School,415 Melrose Avenue,Glen Burnie,MD,21061,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-009
2,Anne Arundel,36301,St. John Lutheran Church,300 Maple Road West,Linthicum,MD,21090,NA,32,03,05,05,001,01,CHURCH,NA,NA,NA,001-010
2,Anne Arundel,36302,Linthicum Library,400 Shipley Road,Linthicum,MD,21090,NA,32,03,05,05,001,01,OTHER,NA,NA,NA,001-011
2,Anne Arundel,36303,North Glen Elementary School,615 Furnace Branch Road West,Glen Burnie,MD,21061,12B,12,03,05,05,001,01,SCHOOL,NA,NA,NA,001-012
2,Anne Arundel,37301,Belle Grove Elementary School,4502 Belle Grove Road,Baltimore,MD,21225,12B,12,03,05,05,001,01,SCHOOL,NA,NA,NA,001-013
2,Anne Arundel,37523,George Cromwell Es,221 Olen Drive,Glen Burnie,MD,21061,NA,32,03,05,05,001,01,SCHOOL,NA,NA,NA,001-014
2,Anne Arundel,36288,Brooklyn Park Elementary School,200 14th Avenue,Baltimore,MD,21225,12B,12,03,05,05,001,01,SCHOOL,NA,NA,NA,001-015
