project_county_name,project_state,total
ABBEVILLE,SC,8
ACADIA,LA,8
ACCOMACK,VA,1
ADA,ID,51
ADAIR,KY,2
ADAMS,CO,146
ADAMS,IL,7
ADAMS,IN,2
ADAMS,MS,25
ADAMS,OH,4
ADAMS,PA,5
ADAMS,WA,1
AIKEN,SC,34
ALACHUA,FL,156
ALBANY,NY,64
ALBANY,WY,3
ALBEMARLE,VA,26
ALCONA,MI,2
ALCORN,MS,1
ALEUTIANS EAST,AK,1
ALEUTIANS WEST,AK,1
ALEXANDRIA CITY,VA,155
ALLAMAKEE,IA,4
ALLEGAN,MI,9
ALLEGANY,MD,11
ALLEGANY,NY,5
ALLEGHENY,PA,246
ALLEN,IN,66
ALLEN,KS,6
ALLEN,KY,1
ALLEN,LA,4
ALLEN,OH,5
ALLENDALE,SC,1
ALPENA,MI,3
AMELIA,VA,2
AMHERST,VA,4
AMITE,MS,2
ANCHORAGE,AK,47
ANDERSON,KS,1
ANDERSON,KY,3
ANDERSON,SC,31
ANDERSON,TN,14
ANDERSON,TX,6
ANDREWS,TX,1
ANDROSCOGGIN,ME,10
ANGELINA,TX,10
ANNE ARUNDEL,MD,257
ANOKA,MN,50
ANTRIM,MI,2
APACHE,AZ,3
APPLING,GA,3
APPOMATTOX,VA,3
ARANSAS,TX,4
ARAPAHOE,CO,269
ARCHER,TX,2
ARKANSAS,AR,2
ARLINGTON,VA,109
ARMSTRONG,PA,5
AROOSTOOK,ME,1
ASCENSION,LA,33
ASHLAND,OH,6
ASHLAND,WI,2
ASHLEY,AR,4
ASHTABULA,OH,4
ASSUMPTION,LA,4
ATASCOSA,TX,8
ATLANTIC,NJ,97
ATTALA,MS,5
AUGLAIZE,OH,2
AUGUSTA,VA,1
AUSTIN,TX,6
AUTAUGA,AL,5
AVOYELLES,LA,5
BACON,GA,1
BAILEY,TX,1
BAKER,FL,10
BAKER,GA,3
BALDWIN,AL,63
BALDWIN,GA,43
BALLARD,KY,1
BALTIMORE,MD,476
BALTIMORE CITY,MD,397
BAMBERG,SC,7
BANDERA,TX,3
BANKS,GA,3
BANNOCK,ID,2
BARBOUR,AL,19
BARBOUR,WV,1
BARNSTABLE,MA,27
BARNWELL,SC,4
BARREN,KY,1
BARRON,WI,4
BARROW,GA,45
BARRY,MI,3
BARTHOLOMEW,IN,1
BARTOW,GA,35
BASTROP,TX,13
BATH,KY,1
BATH,VA,2
BAXTER,AR,1
BAY,FL,85
BAY,MI,8
BEAUFORT,SC,68
BEAUREGARD,LA,2
BEAVER,PA,8
BEAVER,UT,1
BECKER,MN,2
BEDFORD,PA,4
BEDFORD,TN,3
BEDFORD,VA,13
BEE,TX,9
BELKNAP,NH,13
BELL,KY,1
BELL,TX,78
BELMONT,OH,5
BEN HILL,GA,10
BENTON,AR,22
BENTON,IA,4
BENTON,IN,1
BENTON,MN,4
BENTON,MO,2
BENTON,MS,1
BENTON,OR,5
BENTON,TN,1
BENTON,WA,30
BENZIE,MI,3
BERGEN,NJ,910
BERKELEY,SC,138
BERKELEY,WV,15
BERKS,PA,81
BERKSHIRE,MA,31
BERNALILLO,NM,124
BERRIEN,GA,5
BERRIEN,MI,31
BEXAR,TX,482
BIBB,AL,6
BIBB,GA,147
BIENVILLE,LA,2
BINGHAM,ID,2
BLACK HAWK,IA,25
BLACKFORD,IN,1
BLAINE,ID,3
BLAIR,PA,3
BLANCO,TX,2
BLECKLEY,GA,5
BLEDSOE,TN,1
BLOUNT,AL,3
BLOUNT,TN,25
BLUE EARTH,MN,5
BOLIVAR,MS,7
BONNER,ID,7
BONNEVILLE,ID,4
BOONE,AR,2
BOONE,IA,2
BOONE,IL,23
BOONE,IN,11
BOONE,KY,29
BOONE,MO,24
BOONE,WV,3
BOSQUE,TX,2
BOSSIER,LA,56
BOTETOURT,VA,9
BOULDER,CO,360
BOUNDARY,ID,4
BOURBON,KY,2
BOWIE,TX,11
BOX BUTTE,NE,1
BOX ELDER,UT,3
BOYD,KY,2
BOYLE,KY,5
BRADFORD,FL,5
BRADFORD,PA,9
BRADLEY,AR,5
BRADLEY,TN,16
BRANCH,MI,3
BRANTLEY,GA,3
BRAZORIA,TX,135
BRAZOS,TX,28
BRECKINRIDGE,KY,1
BREMER,IA,2
BREVARD,FL,314
BRISTOL,MA,81
BRISTOL,VA,2
BRONX,NY,1126
BROOKS,GA,5
BROOME,NY,23
BROOMFIELD,CO,20
BROWARD,FL,3766
BROWN,IN,4
BROWN,OH,6
BROWN,TX,3
BROWN,WI,109
BRUNSWICK,VA,8
BRYAN,GA,19
BUCHANAN,IA,2
BUCHANAN,MO,8
BUCKS,PA,194
BUENA VISTA,IA,6
BUFFALO,NE,6
BUFFALO,WI,1
BULLITT,KY,11
BULLOCH,GA,38
BULLOCK,AL,5
BURKE,GA,25
BURLINGTON,NJ,118
BURNET,TX,3
BURT,NE,1
BUTLER,AL,10
BUTLER,KS,20
BUTLER,MO,2
BUTLER,OH,66
BUTLER,PA,13
BUTTE,ID,1
BUTTS,GA,12
CABELL,WV,14
CACHE,UT,16
CADDO,LA,121
CALCASIEU,LA,36
CALDWELL,KY,1
CALDWELL,LA,2
CALDWELL,TX,9
CALHOUN,AL,46
CALHOUN,AR,1
CALHOUN,FL,2
CALHOUN,IA,1
CALHOUN,MI,21
CALHOUN,SC,2
CALHOUN,TX,2
CALLAHAN,TX,1
CALLOWAY,KY,4
CALUMET,WI,17
CALVERT,MD,20
CAMBRIA,PA,15
CAMDEN,GA,22
CAMDEN,NJ,158
CAMERON,TX,130
CAMP,TX,2
CAMPBELL,KY,12
CAMPBELL,TN,5
CAMPBELL,VA,9
CAMPBELL,WY,4
CANADIAN,OK,21
CANDLER,GA,1
CANNON,TN,1
CANOVANAS,PR,1
CANYON,ID,11
CAPE GIRARDEAU,MO,5
CAPE MAY,NJ,51
CARBON,PA,8
CARBON,UT,3
CARLTON,MN,1
CAROLINE,MD,3
CAROLINE,VA,5
CARROLL,AR,3
CARROLL,GA,69
CARROLL,IA,1
CARROLL,IL,1
CARROLL,IN,2
CARROLL,KY,1
CARROLL,MD,56
CARROLL,MS,1
CARROLL,NH,8
CARROLL,TN,2
CARROLL,VA,5
CARSON,TX,1
CARTER,KY,1
CARTER,OK,3
CARTER,TN,5
CARVER,MN,16
CASCADE,MT,3
CASEY,KY,3
CASS,IN,6
CASS,MI,1
CASS,MN,1
CASS,MO,21
CASS,NE,2
CASS,TX,2
CASTRO,TX,1
CATAHOULA,LA,3
CATOOSA,GA,18
CATTARAUGUS,NY,11
CAYUGA,NY,3
CECIL,MD,19
CEDAR,IA,1
CEDAR,NE,8
CENTRE,PA,11
CHAFFEE,CO,3
CHAMBERS,AL,16
CHAMBERS,TX,5
CHAMPAIGN,IL,43
CHAMPAIGN,OH,2
CHARITON,MO,1
CHARLES,MD,55
CHARLES CITY,VA,1
CHARLESTON,SC,319
CHARLEVOIX,MI,2
CHARLOTTE,FL,108
CHARLOTTE,VA,8
CHARLOTTESVILLE CITY,VA,27
