LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,001-000,DEMOCRATIC,10,3,18,0,92
Allegany,06,01C,001-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,001-000,NO LABELS MARYLAND,0,0,0,0,0
Allegany,06,01C,001-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,001-000,REPUBLICAN,115,7,25,0,420
Allegany,06,01C,001-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01C,002-000,DEMOCRATIC,6,2,14,0,119
Allegany,06,01C,002-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,002-000,NO LABELS MARYLAND,0,0,0,0,0
Allegany,06,01C,002-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,002-000,REPUBLICAN,123,10,21,1,460
Allegany,06,01C,002-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01C,003-000,DEMOCRATIC,9,10,14,1,99
Allegany,06,01C,003-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,003-000,NO LABELS MARYLAND,0,0,0,0,0
Allegany,06,01C,003-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01C,003-000,REPUBLICAN,88,20,14,2,467
Allegany,06,01C,003-000,UNAFFILIATED,0,0,0,1,0
Allegany,06,01B,004-000,DEMOCRATIC,143,36,226,3,1529
Allegany,06,01B,004-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,004-000,NO LABELS MARYLAND,0,0,0,0,0
Allegany,06,01B,004-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,004-000,REPUBLICAN,327,92,165,4,2073
Allegany,06,01B,004-000,UNAFFILIATED,0,0,0,0,0
Allegany,06,01B,005-000,DEMOCRATIC,44,11,64,1,464
Allegany,06,01B,005-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01B,005-000,NO LABELS MARYLAND,0,0,0,0,0
Allegany,06,01B,005-000,OTHER PARTIES,0,0,0,0,0
Allegany,06,01B,005-000,REPUBLICAN,126,21,47,2,668
Allegany,06,01B,005-000,UNAFFILIATED,0,0,0,0,0
