County,DEM,REP,LIB,OTH,UNA,NLM,TOTAL
Allegany,10944,22620,0,0,0,0,33564
Anne Arundel,172447,128755,1472,2496,60210,32,365412
Baltimore City,295959,28477,0,0,0,0,324436
Baltimore County,305598,137037,0,0,0,0,442635
Calvert,23431,27980,459,731,16159,18,68778
Caroline,6043,10647,0,0,0,0,16690
Carroll,33146,63461,0,0,0,0,96607
Cecil,19047,34380,0,0,0,0,53427
Charles,74650,23001,439,1207,24120,21,123438
Dorchester,9490,9225,46,94,1653,1,20509
Frederick,77403,67762,1247,1714,52041,38,200205
Garrett,3522,13660,0,0,0,0,17182
Harford,64176,80295,0,0,0,0,144471
Howard,120966,48103,570,1389,38466,25,209519
Kent,5752,5284,0,0,0,0,11036
Montgomery,404689,97939,2380,7162,168540,121,680831
Prince George's,453370,38687,743,5595,46595,38,545028
Queen Anne's,11029,19918,0,0,0,0,30947
Saint Mary's,24778,31906,494,840,17709,16,75743
Somerset,5410,6137,0,0,0,0,11547
Talbot,10553,11608,19,50,1035,0,23265
Washington,30773,44182,656,1185,23540,7,100343
Wicomico,26068,23884,0,0,0,0,49952
Worcester,13586,19440,28,84,1397,1,34536
