zip,count
00048,1
00136,2
00153,2
00160,1
00165,1
00168,1
00187,1
00195,1
00196,2
00260,1
00615,1
00622,1
00646,1
00698,1
00716,1
00753,1
00773,1
00791,1
00820,3
00824,1
00911,1
00925,1
00957,1
00976,1
01002,8
01003,5
01040,1
01060,2
01063,9
01075,8
01099,2
01103,1
01201,1
01220,1
01245,1
01267,11
01360,1
01375,2
01430,1
01545,2
01569,1
01581,1
01605,1
01607,1
01608,1
01609,6
01610,11
01701,1
01702,1
01719,1
01742,1
01801,1
01809,1
01841,1
01844,1
01852,2
01854,1
01886,1
01915,1
01930,1
01982,5
01984,2
02062,2
02067,2
02111,1
02113,5
02114,3
02115,17
02116,10
02118,6
02120,9
02127,4
02128,2
02129,1
02130,5
02131,1
02134,14
02135,15
02136,1
02138,20
02139,20
02140,2
02141,3
02142,1
02143,7
02144,12
02145,3
02150,1
02151,1
02152,1
02155,18
02163,2
02169,1
02171,1
02176,1
02180,1
02184,1
02186,1
02215,38
02351,2
02360,1
02420,1
02445,1
02446,10
02452,1
02453,7
02454,1
02457,1
02458,1
02459,1
02461,1
02464,1
02467,9
02472,1
02474,2
02481,3
02482,1
02532,2
02633,2
02635,2
02642,2
02653,1
02660,1
02666,1
02667,3
02673,2
02703,1
02738,2
02740,1
02780,1
02809,3
02818,1
02840,1
02841,1
02842,1
02852,1
02878,2
02881,1
02882,4
02903,4
02905,1
02906,7
02908,4
02909,1
02912,19
02918,2
03053,1
03062,1
03253,2
03281,1
03301,1
03307,1
03431,1
03560,2
03753,2
03755,2
03766,2
03801,1
03820,1
03824,6
03907,2
04009,1
04011,6
04016,1
04038,1
04046,2
04079,1
04101,2
04106,1
04155,1
04240,4
04250,1
04410,1
04421,2
04468,1
04469,2
04473,1
04530,1
04576,1
04607,1
04609,1
04627,1
04640,2
04660,2
04669,2
04679,2
04841,1
04843,1
04852,1
04901,1
05061,1
05091,1
05201,2
05251,2
05401,16
05404,1
05405,20
05446,4
05489,1
05495,1
05607,1
05656,1
05663,1
05672,2
05735,2
05753,7
06000,2
06002,2
06030,1
06040,1
06066,1
06082,1
06084,1
06085,1
06100,1
06105,3
06106,4
06109,1
06117,2
06121,1
06135,1
06235,1
06237,1
06238,1
06239,1
06268,5
06269,2
06279,1
06281,1
06320,4
06333,1
06335,1
06340,2
06351,1
06370,1
06375,1
06400,1
06405,2
06416,1
06432,1
06457,6
06459,3
06460,2
06492,1
06498,1
06500,1
06510,2
06511,17
06516,5
06518,3
06519,2
06520,4
06560,1
06605,1
06776,1
06777,2
06794,1
06810,1
06824,3
06825,1
06870,1
06880,2
06901,1
06902,1
06906,1
07003,1
07006,1
07013,1
07014,2
07016,1
07024,1
07030,12
07032,3
07039,1
07040,1
07042,1
07043,1
07051,1
07052,1
07054,1
07059,1
07068,1
07070,1
07079,4
07086,1
07087,2
07090,1
07095,1
07102,1
07110,2
07302,2
07304,1
07305,1
07306,1
07310,1
07417,1
07422,2
07430,2
07470,2
07481,1
07621,1
07630,2
07670,2
07675,2
07712,1
07716,1
07719,1
07720,2
07732,2
07738,1
07740,5
07747,1
07755,1
07758,1
07764,1
07825,1
07830,1
07848,1
07849,1
07851,1
07852,1
07860,3
07869,1
07882,1
07901,1
07921,1
07922,3
07940,2
07960,1
08000,1
08001,1
08002,1
08004,1
08005,1
08008,8
08009,1
08010,1
08011,1
08012,1
08016,1
08020,1
08021,1
08022,1
08028,1
08034,2
08037,1
08043,1
08048,1
08052,1
08053,2
08054,1
08057,2
08065,1
08068,1
08075,1
08077,1
08080,1
08081,4
08085,2
08087,1
08088,1
08098,2
08102,1
08106,1
08108,1
08110,1
08121,1
08202,6
08203,6
08204,12
08205,1
08210,6
08212,2
08219,1
08226,13
08234,1
08243,3
08244,2
08247,3
08248,2
08251,10
08260,14
08318,2
08350,1
08361,1
08401,6
