zip,donations,total
20601,1425,35154.4
20602,897,22974.03999999998
20603,1449,54640.36000000012
20604,58,1159.21
20606,21,293.59999999999997
20607,578,12869.199999999993
20608,26,960.6999999999999
20609,48,2305.4399999999996
20610,40,2338.0399999999995
20611,35,826.2
20612,146,717.07
20613,1242,21712.14999999992
20615,156,2400.2400000000016
20616,292,6938.1399999999985
20617,122,2581.13
20618,111,3086.189999999999
20619,1321,50741.130000000056
20620,163,5863.94
20621,39,1845.4899999999993
20622,383,17405.309999999994
20623,103,2147.4399999999996
20624,18,727.2300000000001
20625,26,1835.3699999999997
20626,16,1488.6
20627,3,520.24
20628,88,2661.529999999999
20630,57,8129.480000000001
20632,74,1660.4599999999996
20634,2590,41293.05999999995
20636,1831,39801.99999999989
20637,1342,50569.88999999994
20639,4060,78700.29000000027
20640,1132,23500.449999999957
20645,104,2337.07
20646,5750,92164.8600000004
20650,6687,111278.18000000074
20653,2289,45948.46000000004
20656,4,4
20657,1350,80439.92000000038
20658,11,1121.18
20659,3755,91069.19000000054
20660,2,2000
20662,133,9742.390000000003
20664,281,8245.47
20667,30,1417.1299999999999
20670,19,705.89
20674,209,9114.100000000006
20675,131,4188.69
20676,691,23146.85999999999
20677,10510,52261.30000000037
20678,2547,50940.49999999995
20680,44,1978.8000000000002
20684,75,3987.879999999999
20685,1045,30678.48999999994
20686,5,389.33
20687,7,244.3
20688,2245,37209.47999999994
20689,49,2773.0099999999993
20690,735,14588.270000000004
20692,20,1091.63
20693,52,1714.5400000000006
20695,426,14520.069999999992
20701,15,1439.8600000000001
20703,36,1705.4399999999998
20705,805,22559.73999999999
20706,1107,29126.840000000055
20707,1548,34556.44999999992
20708,789,54085.47
20709,7,876.03
20710,72,2001.2699999999995
20711,727,37307.29999999996
20712,173,4516.9000000000005
20714,382,12063.769999999988
20715,4184,142469.33000000103
20716,1680,27480.630000000012
20717,1,26.03
20718,1,24.98
20720,1111,34529.47999999995
20721,535,14887.369999999986
20722,233,3351.6400000000003
20723,1100,43215.24999999997
20724,696,11786.809999999992
20725,12333,55055.410000000214
20726,8,423.17
20732,1193,30932.33999999991
20733,781,35883.32
20735,1180,22491.139999999927
20736,765,36527.33999999994
20737,225,5443.21
20738,9,132
20740,1193,56220.70999999998
20741,34,671.36
20742,1,1
20743,183,4492.559999999999
20744,2353,35052.24999999999
20745,1032,53411.80999999974
20746,140,2967.6399999999994
20747,375,12687.24
20748,653,14587.360000000004
20749,83,79.14999999999999
20750,4,102.06
20751,672,10915.30000000001
20753,7,250.49
20754,1336,44534.28999999998
20755,167,4977.139999999996
20757,6,153.85
20758,135,4327.030000000003
20759,1027,36052.18999999997
20760,3,30.82
20762,48,14706.78
20763,71,3276.5099999999993
20764,462,12968.499999999998
20765,522,6221.2599999999975
20768,8,446.61
20769,210,15896.250000000004
20770,496,21328.509999999966
20772,1389,31955.939999999937
20773,22,1109.36
20774,841,21914.559999999983
20775,8,80
20776,1963,65721.77000000003
20777,293,20180.67
20778,393,16143.259999999997
20779,125,5277.000000000001
20781,158,10096.329999999998
20782,7196,26050.830000000293
20783,527,9823.730000000005
20784,379,17513.350000000002
20785,651,38606.709999999955
20791,17,605.24
20794,793,15510.410000000009
20797,23,328.5799999999999
20810,7,102.54999999999998
20811,8,255
20812,15,2051.1
20813,43,670.26
20814,2487,202639.16000000053
20815,3805,721210.8099999983
20816,2495,284897.07999999885
20817,3009,522987.4099999978
20818,316,18863.17999999999
20824,2,10
20825,4,269.4
20827,174,2008.82
20830,20,467.1
20832,3362,114980.55000000095
20833,963,30259.05999999992
20837,3241,57977.12000000006
20838,24,941.0799999999999
20839,18,512.8499999999999
20841,744,21229.879999999983
20842,136,10108.009999999995
20849,62,737.24
20850,5886,203583.64000000095
20851,719,18287.63
20852,4380,157263.340000001
20853,2626,124813.38000000051
20854,12131,944799.1799999998
20855,2795,92437.87000000042
20857,2,50
20859,988,20682.46999999992
20860,292,14416.610000000002
20861,257,11465.850000000008
20862,70,3784.6399999999976
20866,1219,25807.389999999996
20868,122,2218.01
20871,4612,80923.96000000063
20872,1755,39932.7499999999
20874,4528,132768.29000000193
20875,139,4183.309999999999
20876,3321,59598.96000000026
20877,4482,135030.5500000012
20878,6764,261582.07000000097
20879,1423,46258.66000000008
20880,2579,3529.360000000013
20882,2077,55039.370000000104
20883,8,379.61
20884,1,1
20885,26,173.35
20886,2666,44448.79999999998
20888,51,227.00000000000003
20889,3,2
20895,1821,84943.84000000029
20896,54,6205.740000000002
20901,1373,39357.02999999992
20902,2665,111594.10000000116
20903,587,24608.239999999972
20904,3751,162519.77000000112
20905,1413,51927.54000000004
20906,5229,113328.51000000157
20907,40,632.9200000000002
20908,1,20.24
20910,4974,124519.65000000046
20912,343,14698.359999999997
20913,1,52.05
20914,1,100
20915,2,10.42
20916,2,10
20918,1,1
20938,1,250
21001,1059,32703.409999999927
21005,51,1740.7099999999998
21009,5140,66653.2000000004
21010,4,76
21011,6,194
21012,3137,92377.88000000057
21013,1870,51311.059999999954
21014,7659,148802.47000000265
21015,4943,124358.7200000016
21017,616,9860.279999999992
21020,2,73.93
21022,6,353.2
21023,18,1727.7
21028,651,12705.77
21029,996,55820.07999999995
21030,2511,108375.52000000064
21031,3,121.07
21032,2557,106763.8800000004
21034,196,4830.949999999999
21035,1619,105207.05000000031
21036,128,7781.639999999995
21037,2560,132253.67000000077
21040,1925,35919.79999999996
21041,24,1808.5100000000002
21042,5156,197983.37000000064
21043,6185,122321.36000000112
21044,2871,89628.98000000049
21045,2114,65944.75000000004
21046,1732,41757.79999999992
21047,1600,55999.08000000003
21048,1342,54494.54000000002
21050,2703,80880.23000000008
21051,23,1247.9199999999998
21052,33,576.63
21053,1337,18719.859999999986
21054,1243,55027.50999999999
21056,146,61699
21057,803,30587.219999999958
21060,2913,77188.22000000016
21061,4334,94884.25000000096
21071,73,2712.2000000000007
21074,1937,41324.14
21075,1098,38737.78999999992
21076,1184,37133.1999999999
21077,3,86.21000000000001
21078,3100,79610.61000000061
21082,236,4434.750000000003
21084,1880,31766.83999999992
21085,2769,60720.31000000001
21087,2194,51768.68000000009
21088,5,207.86
21090,912,24629.47999999995
21092,1,48.93
21093,9103,260605.55000000255
21094,15,371.92
21102,1820,33108.76999999995
21104,1121,24535.42999999998
21106,2,73.93
21108,2665,93759.31000000042
21111,900,31044.06999999993
21113,2621,93812.13000000057
21114,5108,183088.8100000013
21117,3482,100675.68000000091
21120,1165,36591.729999999945
21122,9814,198584.70000000158
21123,23,811.1700000000001
21128,1706,38107.33999999993
21130,5,202
21131,986,53588.450000000004
21132,1935,26892.71999999997
21133,853,11557.729999999961
21136,5753,117010.2300000019
21139,72,2126.1
21140,372,14685.769999999997
21144,4088,93118.1200000007
21146,4267,170297.64000000138
21150,2,260
