zip,donations,total
20601,6976,190404.72999999978
20602,6758,109716.81999999996
20603,12854,248108.6100000006
20604,247,8033.67
20606,11,131.43
20607,6889,181393.81000000043
20608,337,2569.720000000003
20609,61,2290
20610,68,1669.1999999999998
20611,46,1206
20612,21,399.17
20613,6436,170352.85000000012
20614,21,409
20615,25,633
20616,1703,38740.899999999994
20617,274,7542.26
20618,313,6069.32
20619,2733,63659.01000000006
20620,393,7357.65
20621,66,967
20622,356,8922.109999999999
20623,2075,33616.96000000001
20624,60,795
20625,454,9224.020000000004
20626,240,3636.8600000000006
20627,8,40
20628,43,12163.26
20629,37,813
20630,371,24333.75
20632,21,2812.5
20634,1095,27256.079999999944
20635,23,1176
20636,2316,58391.37
20637,2083,40167.06999999999
20638,24,729.74
20639,3313,119571.28999999998
20640,1569,24599.82999999998
20644,33,659
20645,199,10778.3
20646,5566,130374.95000000004
20647,1,39.8
20649,6,330
20650,3964,144375.84000000023
20653,3608,81705.0799999999
20656,38,1569.76
20657,5067,125720.03000000009
20658,288,10475.370000000004
20659,2061,66697.38
20660,5,190
20662,316,3207.0199999999995
20663,6,135
20664,225,19794.23
20667,37,1525.3899999999999
20669,1,20
20670,100,2542.67
20674,355,9889.67
20675,265,13192.099999999999
20676,4042,51759.59
20677,666,19220.510000000002
20678,2380,49224.85999999996
20679,1,250
20680,87,6197.360000000001
20682,3,153
20683,6,280
20684,90,3067.24
20685,2422,44961.41000000005
20686,776,26377.35
20687,80,2937.49
20688,3855,84676.29000000008
20689,201,18325.74
20690,697,10894.629999999992
20691,4,84
20692,161,5585.110000000001
20693,226,5676.370000000001
20694,3,28
20695,4407,98344.96999999994
20696,2,189.92
20697,12,89
20698,11,205.5
20701,127,5610.76
20702,2,42
20703,225,2404.51
20704,71,1503.76
20705,8949,263127.96999999945
20706,12313,314519.8699999994
20707,16759,392772.42999999854
20708,7135,155413.97000000026
20709,69,826
20710,645,28141.24
20711,1572,67949.20999999996
20712,4346,127500.21000000004
20713,38,307
20714,2108,41288.52999999997
20715,17641,314771.77000000153
20716,9976,277360.8199999999
20717,56,1502.75
20718,237,5407.000000000001
20719,14,385
20720,17274,545108.1899999978
20721,27247,1016134.5099999991
20722,4938,57960.55000000015
20723,12363,402577.18000000034
20724,6276,110552.95999999986
20725,122,5023.42
20726,62,948
20727,5,13
20729,3,70.17
20730,2,25
20731,115,653
20732,4164,104842.46
20733,1910,50651.11
20734,20,578
20735,15308,316990.6299999999
20736,3030,72934.04000000002
20737,3706,102120.56000000013
20738,65,964
20739,4,160
20740,12587,317914.8899999996
20741,1486,40967.22999999998
20742,56,12867.61
20743,6852,165297.1299999999
20744,31497,615052.9699999988
20745,12754,230824.93999999977
20746,5612,110835.93000000007
20747,9223,156460.6300000003
20748,12089,230580.97000000085
20749,123,2894.23
20750,732,10758.440000000002
20751,943,30918.42999999999
20752,39,1026
20753,147,2130
20754,1806,52836.890000000014
20755,718,13748.609999999999
20757,115,2539.17
20758,169,6653.169999999999
20759,4003,216717.4500000003
20762,160,2821.08
20763,1067,16640.289999999997
20764,1593,58113.28999999995
20765,376,18800.059999999998
20768,190,4025.74
20769,7457,183612.53000000017
20770,17073,470197.8199999965
20771,16,223
20772,24555,701566.209999997
20773,348,13695.669999999998
20774,28133,790564.2600000018
20775,333,8819.52
20776,1344,43335.319999999985
20777,2707,111532.35999999994
20778,1436,39547.169999999984
20779,687,29339.599999999988
20781,5853,231033.8899999996
20782,12863,595571.0799999984
